manufacturer,model,price_pln,rating,rating_count,availability,stock_quantity,url
Harley Benton,ST-Modern HSS FBLB,849.0,8.1818,11,IN_STOCK,69,harley_benton_st_modern_hss_fblb.htm?type=category
Harley Benton,SC-Custom III Desert Burst,1285.0,9.625,48,IN_STOCK,107,harley_benton_sc_custom_iii_desert_burst.htm?type=category
Gibson,Les Paul Standard 60s BB,10790.0,9.3737,99,IN_STOCK,29,gibson_les_paul_standard_60s_bb.htm?type=category
Schecter,E-1 SLS Evil Twin SBK,7090.0,9.4666,15,IN_STOCK,1,schecter_e_1_sls_evil_twin_sbk.htm?type=category
Harley Benton,ST-Modern Plus HSS MOD,1490.0,9.6,15,IN_STOCK,43,harley_benton_st_modern_plus_hss_mod.htm?type=category
Squier,Aff. Strat HSS MN PACK LPB,1399.0,9.1851,54,IN_STOCK,41,fender_sq_aff._strat_hss_mn_pack_lpb.htm?type=category
Harley Benton,R-458MN WH MultiScale,855.0,8.9898,295,IN_STOCK,69,harley_benton_r_458_wh_fanfret.htm?type=category
Fender,Standard Strat HSS LRL WPG CND,2648.0,8.8,5,IN_STOCK,4,fender_standard_strat_hss_lrl_wpg_cnd.htm?type=category
Harley Benton,Guitar MAX Fusion Signature WN,1899.0,9.4814,27,IN_STOCK,117,harley_benton_guitar_max_fusion_signature_wn.htm?type=category
Harley Benton,RG-Junior BK LH,379.0,7.9428,35,IN_STOCK,192,harley_benton_rg_junior_bk_lh.htm?type=category
Gibson,Les Paul Studio Session Cob.B.,8444.0,10.0,5,IN_STOCK,7,gibson_les_paul_studio_session_cob_b.htm?type=category
Gibson,Les Paul Custom 70s Wine Red,15990.0,10.0,5,IN_STOCK,7,gibson_les_paul_custom_70s_wine_red.htm?type=category
Ibanez,K7YIN,7899.0,,0,IN_STOCK,4,ibanez_k7yin.htm?type=category
Music Man,John Petrucci BFR Majesty 7 WB,31390.0,10.0,1,IN_STOCK,2,music_man_john_petrucci_bfr_majesty_7_wb.htm?type=category
ESP,Snakebyte Camo,24990.0,,0,IN_STOCK,3,esp_snakebyte_camo.htm?type=category
Fender,Tom Morello Arm The Homeless,7899.0,10.0,1,IN_STOCK,9,fender_tom_morello_arm_the_homeless.htm?type=category
Harley Benton,SC-Custom III Ocean Flame,1285.0,9.3157,38,IN_STOCK,67,harley_benton_sc_custom_iii_ocean_flame.htm?type=category
Gibson,Les Paul Standard 60s DT VBB,9599.0,10.0,2,IN_STOCK,1,gibson_les_paul_standard_60s_dt_vbb.htm?type=category
Harley Benton,TE-62CC SFG,639.0,9.3548,310,IN_STOCK,218,harley_benton_te_62cc_sfg.htm?type=category
Squier,CV Custom Tele BIGS SH PPG AZG,2099.0,8.8571,7,IN_STOCK,3,squier_cv_custom_tele_bigs_sh_ppg_azg.htm?type=category
Harley Benton,SC-450Plus GT Vintage Series,855.0,9.1702,94,IN_STOCK,66,harley_benton_sc_450plus_gt_vintage_series.htm?type=category
Harley Benton,SC-550 II Silver Burst,1369.0,9.4285,56,IN_STOCK,64,harley_benton_sc_550_ii_silver_burst.htm?type=category
PRS,SE Studio Standard Pearl White,3390.0,9.6,5,IN_STOCK,9,prs_se_studio_standard_pearl_white.htm?type=category
Gibson,LP Custom 54 Black Beauty VOS,27090.0,9.3333,3,IN_STOCK,3,gibson_lp_custom_54_black_beauty_vos.htm?type=category
Harley Benton,ST-Modern HH LH RBM,679.0,9.6,5,IN_STOCK,2,harley_benton_st_modern_hh_lh_rbm.htm?type=category
Hils,Next HN3 Ivory,2055.0,8.7272,11,IN_STOCK,40,hils_next_hn3_ivory.htm?type=category
Harley Benton,JA-60CC Shell Pink,769.0,9.5365,82,IN_STOCK,132,harley_benton_ja_60cc_shell_pink.htm?type=category
Epiphone,Les Paul Custom Alpine WH,3198.0,9.1428,7,IN_STOCK,6,epiphone_les_paul_custom_alpine_wh.htm?type=category
ESP,James Hetfield Vulture OW,18790.0,,0,IN_STOCK,1,esp_james_hetfield_vulture_ow.htm?type=category
Harley Benton,ST-20 SB Standard Serie Bundle,555.0,,0,IN_STOCK,1272,harley_benton_st_20_sb_standard_serie_bundle_bundle.htm?type=category
Harley Benton,ST-90SA Swamp Ash DLX Series,722.0,8.9306,245,IN_STOCK,69,harley_benton_st_90sa_swamp_ash_dlx_series.htm?type=category
Fender,AV II 51 TELE MN BTB,10190.0,9.8666,15,IN_STOCK,2,fender_av_ii_51_tele_mn_btb.htm?type=category
Fender,Player II Jazzmaster RW BCG,3599.0,8.6666,3,IN_STOCK,3,fender_player_ii_jazzmaster_rw_bcg.htm?type=category
Harley Benton,ST-62 BK Vintage Series,639.0,8.9951,205,IN_STOCK,188,harley_benton_st_62_bk_vintage_series.htm?type=category
ESP,LTD MT-I Mick Thomson Sig.,7999.0,,0,IN_STOCK,2,esp_ltd_mt_i_mick_thomson_sig.htm?type=category
Harley Benton,ST-Modern Plus MN HSS LH FBB,1699.0,8.8,5,IN_STOCK,66,harley_benton_st_modern_plus_mn_hss_lh_fbb.htm?type=category
Gibson,Les Paul Slash Standard AppBur,11690.0,9.48,50,IN_STOCK,12,gibson_les_paul_slash_standard_aa.htm?type=category
PRS,SE Silver Sky Moon White Maple,3650.0,,0,IN_STOCK,3,prs_se_silver_sky_moon_white_maple.htm?type=category
Harley Benton,ST-62CC Lake Placid Blue,639.0,9.3333,78,IN_STOCK,56,harley_benton_st_62cc_rw_lake_placid_blue.htm?type=category
Squier,CV 60s Strat LPB,1799.0,9.2162,74,IN_STOCK,19,fender_classic_vibe_60s_strat_lpb.htm?type=category
Music Man,Axis Macha Flame,16290.0,10.0,1,IN_STOCK,2,music_man_axis_macha_flame.htm?type=category
Epiphone,Les Paul Custom Alpine White,4333.0,8.8,15,IN_STOCK,21,epiphone_les_paul_custom_alpine_white_588237.htm?type=category
Harley Benton,EX-84 Modern EMG VW,1699.0,9.3176,170,SHORT_TERM,84,harley_benton_ex_84_modern_emg_wh.htm?type=category
Thomann,Guitar Set G13 Sunburst,649.0,8.4736,38,IN_STOCK,1272,thomann_gitarren_set_g13_sunburst.htm?type=category
Hils,Next HN6 Ultra Gold,3599.0,9.25,8,IN_STOCK,15,hils_next_hn6_ultra_gold.htm?type=category
